group_id,worker_id,prod_cd,c_url,n_url,e_url
37,1,,https://www.coupang.com/vp/products/700512?itemId=2567106&vendorItemId=88552313996&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4771696694,https://www.11st.co.kr/products/6686898730?&trTypeCd=21&trCtgrNo=1001718
37,1,,https://www.coupang.com/vp/products/8551183068?itemId=24760508227&vendorItemId=91768829726&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/6154565781,https://www.11st.co.kr/products/7954397970?&trTypeCd=21&trCtgrNo=1001718
37,1,,https://www.coupang.com/vp/products/5184622183?itemId=7180154727&vendorItemId=89964676290&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5854637269,https://www.11st.co.kr/products/6837182714?&trTypeCd=21&trCtgrNo=1001718
37,1,,https://www.coupang.com/vp/products/7855769742?itemId=21424690298&vendorItemId=88305533840&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2624742166,https://www.11st.co.kr/products/6832963488?&trTypeCd=21&trCtgrNo=1001718
37,1,,https://www.coupang.com/vp/products/7821190715?itemId=21244878842&vendorItemId=88305533983&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/8979254318,https://www.11st.co.kr/products/3108353834?&trTypeCd=21&trCtgrNo=1001718
37,1,,https://www.coupang.com/vp/products/8520231924?itemId=24668737833&vendorItemId=91679048183&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/9315818453,https://www.11st.co.kr/products/7939724347?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/17565971?itemId=70451843&vendorItemId=3113955442&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/9908498248,https://www.11st.co.kr/products/7936565979?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/700526?itemId=22666601042&vendorItemId=89704315171&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2923954272,https://www.11st.co.kr/products/7939426843?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/6109973407?itemId=11508628278&vendorItemId=80236543572&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/7427892298,https://www.11st.co.kr/products/7939724301?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/5184622364?itemId=7180156374&vendorItemId=74471790413&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/2820360412,https://www.11st.co.kr/products/7939426796?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/4941119187?itemId=6509968633&vendorItemId=73804143737&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/10273733172,https://www.11st.co.kr/products/7939426811?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/6306565839?itemId=13066964385&vendorItemId=80329299479&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5854535627,https://www.11st.co.kr/products/7939426896?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/106536584?itemId=322103666&vendorItemId=90395403060&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/4459748026,https://www.11st.co.kr/products/7936565876?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/700511?itemId=2567104&vendorItemId=88552315118&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/9908492997,https://www.11st.co.kr/products/7923810411?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8003028113?itemId=22295877455&vendorItemId=89341381263&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5123730282,https://www.11st.co.kr/products/7926007732?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/8568860983?itemId=24822989560&vendorItemId=91966385963&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/9315817716,https://www.11st.co.kr/products/7923810491?&trTypeCd=21&trCtgrNo=1001693
37,1,,https://www.coupang.com/vp/products/2051656348?itemId=3487899885&vendorItemId=71474174914&sourceType=CAMPAIGN&campaignId=1925&categoryId=0,https://smartstore.naver.com/main/products/5035120995,https://www.11st.co.kr/products/7926007693?&trTypeCd=21&trCtgrNo=1001693
